Games_Updated_ID,Console,Game_Name,Review,Score
Games_Updated_ID_292,PC,Cuphead  - Rise To The Challenge,Great,8
Games_Updated_ID_293,PC,Falcon Age  - High Flying,Great,8
Games_Updated_ID_294,PC,Pathway  - Pulp Friction,Fair,6
Games_Updated_ID_295,PC,Heaven's Vault  - Come Sail Away,Fair,6
Games_Updated_ID_296,PC,My Time At Portia  - Crop Circles,Fair,6
Games_Updated_ID_297,PC,Hellblade: Senua's Sacrifice  - The Power Of Empathy,Great,8
Games_Updated_ID_298,PC,Zanki Zero: Last Beginning  - Attack Of The Clones,Fair,6
Games_Updated_ID_299,PC,MLB The Show 19  - Bases Loaded,Superb,9
Games_Updated_ID_300,PC,Tropico 6  - World Stage,Great,8
Games_Updated_ID_301,PC,The Division 2  - National Treasure,Superb,9
Games_Updated_ID_302,PC,The World Next Door  - Anime Angst,Fair,6
Games_Updated_ID_303,PC,"Operencia: The Stolen Sun  - A Journey Far, Far Away",Great,8
Games_Updated_ID_304,PC,Sekiro: Shadows Die Twice  - Steel Yourself,Superb,9
Games_Updated_ID_305,PC,The Walking Dead: The Final Season Episode 4,Superb,9
Games_Updated_ID_306,PC,Yoshi's Crafted World  - Imagination,Great,8
Games_Updated_ID_307,PC,Hypnospace Outlaw  - Weird World Web,Great,8
Games_Updated_ID_308,PC,Baba is You  - Game-Changer,Good,7
Games_Updated_ID_309,PC,Ethereal  - Stay In Your Lane,Good,7
Games_Updated_ID_310,PC,Left Alive  - No Will To Survive,Bad,3
Games_Updated_ID_311,PC,Objects In Space  - Adrift,Great,8
Games_Updated_ID_312,PC,Devil May Cry 5  - From Zero To Nero,Superb,9
Games_Updated_ID_313,PC,ToeJam & Earl: Back In The Groove  - The Funk-Soul Brothers,Mediocre,5
Games_Updated_ID_314,PC,Assault Android Cactus+  - Robots Rock,Superb,9
Games_Updated_ID_315,PC,Ape Out  - Guerrilla Gorilla,Good,7
Games_Updated_ID_316,PC,Kirby's Extra Epic Yarn  - All Stitched Up,Superb,9
Games_Updated_ID_317,PC,Dead Or Alive 6  - Combat Ready,Good,7
Games_Updated_ID_318,PC,The Occupation  - On The Clock,Great,8
Games_Updated_ID_319,PC,Far Cry: New Dawn  - Duct Tape Apocalypse,Fair,6
Games_Updated_ID_320,PC,Civilization 6: Gathering Storm  - Weather The Storm,Superb,9
Games_Updated_ID_321,PC,Eastshade  - A Brush With Nature,Superb,9
Games_Updated_ID_322,PC,Trials Rising  - It's A Gas,Good,7
Games_Updated_ID_323,PC,Devotion  - House Of Horrors,Superb,9
Games_Updated_ID_324,PC,Anthem  - Two Halves,Fair,6
Games_Updated_ID_325,PC,Tetris 99  - Embrace The Chaos,Great,8
Games_Updated_ID_326,PC,Crackdown 3  - Man Of Steel,Mediocre,5
Games_Updated_ID_327,PC,Jump Force  - Shonen Through And Through,Good,7
Games_Updated_ID_328,PC,Yo-kai Watch 3  - Tokyo To Texas,Fair,6
Games_Updated_ID_329,PC,Yakuza Kiwami  - Back In Action,Great,8
Games_Updated_ID_330,PC,God Eater 3  - Aragami Hunter,Fair,6
Games_Updated_ID_331,PC,Astroneer  - New Frontiers,Fair,6
Games_Updated_ID_332,PC,Dragon Marked for Death  - Dates With Death,Good,7
Games_Updated_ID_333,PC,Sunless Skies  - British Steam Power,Great,8
Games_Updated_ID_334,PC,Wargroove  - The Doggos Of War,Great,8
Games_Updated_ID_335,PC,Etrian Odyssey Nexus  - Where All Paths Cross,Great,8
Games_Updated_ID_336,PC,Jon Shafer's At The Gates  - Fertile Soil,Good,7
Games_Updated_ID_337,PC,The Hong Kong Massacre  - I Know Gun-Fu,Good,7
Games_Updated_ID_338,PC,Downwell  - Polished Boots,Great,8
