Console,Game_Name,Review,Score
PC,Yoshi's Crafted World  - Imagination,Great,8
PC,Hypnospace Outlaw  - Weird World Web,Great,8
PC,Baba is You  - Game-Changer,Good,7
PC,Ethereal  - Stay In Your Lane,Good,7
PC,Left Alive  - No Will To Survive,Bad,3
PC,Objects In Space  - Adrift,Great,8
PC,Devil May Cry 5  - From Zero To Nero,Superb,9
PC,ToeJam & Earl: Back In The Groove  - The Funk-Soul Brothers,Mediocre,5
PC,Assault Android Cactus+  - Robots Rock,Superb,9
PC,Ape Out  - Guerrilla Gorilla,Good,7
PC,Kirby's Extra Epic Yarn  - All Stitched Up,Superb,9
PC,Dead Or Alive 6  - Combat Ready,Good,7
PC,The Occupation  - On The Clock,Great,8
PC,Far Cry: New Dawn  - Duct Tape Apocalypse,Fair,6
PC,Civilization 6: Gathering Storm  - Weather The Storm,Superb,9
PC,Eastshade  - A Brush With Nature,Superb,9
PC,Trials Rising  - It's A Gas,Good,7
PC,Devotion  - House Of Horrors,Superb,9
PC,Anthem  - Two Halves,Fair,6
PC,Tetris 99  - Embrace The Chaos,Great,8
PC,Crackdown 3  - Man Of Steel,Mediocre,5
PC,Jump Force  - Shonen Through And Through,Good,7
PC,Yo-kai Watch 3  - Tokyo To Texas,Fair,6
PC,Yakuza Kiwami  - Back In Action,Great,8
PC,God Eater 3  - Aragami Hunter,Fair,6
PC,Astroneer  - New Frontiers,Fair,6
PC,Dragon Marked for Death  - Dates With Death,Good,7
PC,Sunless Skies  - British Steam Power,Great,8
PC,Wargroove  - The Doggos Of War,Great,8
PC,Etrian Odyssey Nexus  - Where All Paths Cross,Great,8
PC,Jon Shafer's At The Gates  - Fertile Soil,Good,7
PC,The Hong Kong Massacre  - I Know Gun-Fu,Good,7
PC,Downwell  - Polished Boots,Great,8
PC,Mage's Initiation: Reign Of The Elements  - VGA Heyday,Fair,6
PC,"Kingdom Hearts 3  - Clear Eyes, Full Hearts",Great,8
PC,Pikuniku  - Delicious Morsel,Great,8
PC,Genesis Alpha One  - Drifting Without Direction,Poor,4
PC,Resident Evil 2  - RE-vived Nightmares,Superb,9
PC,Life Is Strange 2: Episode 2  - With Great Power,Great,8
PC,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,Great,8
PC,The Walking Dead: The Final Season Episode 3,Great,8
PC,YIIK: A Postmodern RPG  - A Bit More Hipster,Mediocre,5
PC,Double Cross  - Combat Woes,Fair,6
PC,Vane  - In Vain,Mediocre,5
PC,The Eternal Castle Remastered  - Vivid Flashbacks,Great,8
PC,"New Super Mario Bros. U Deluxe  - It's-A-Me, Again!",Good,7
PC,Below  - Deep Down,Fair,6
PC,"Bury Me, My Love  - Trials And Tribulations",Great,8
PC,Battle Princess Madelyn  - Halfway There,Fair,6
PC,Super Smash Bros. Ultimate  - Me And You And Everyone We Know,Superb,9
PC,Gris  - Seeing In Color,Superb,9
PC,Monster Boy And The Cursed Kingdom  - Fit For A King,Great,8
PC,Thronebreaker: The Witcher Tales  - Queen Of Hearts,Superb,9
PC,Desert Child  - Burning Fuel,Mediocre,5
PC,Earth Defense Force 5  - Another Bug Hunt,Great,8
PC,Ashen  - Relationship Souls,Superb,9
PC,Artifact  - Play Your Cards Right,Great,8
PC,Just Cause 4  - Mildly Wild Ride,Fair,6
PC,Big Bash Boom : Stiff Wickets,Mediocre,5
PC,Cosmic Top Secret  - Declassified,Good,7
PC,Darksiders 3  - Soils-Like,Poor,4
PC,Persona 5: Dancing In Starlight  - The Shujin Shuffle,Great,8
PC,Persona 3: Dancing In Moonlight  - A Spotlight In The Dark Hour,Superb,9
PC,Beat Saber  - Bass-Boosted,Great,8
PC,Nidhogg 2  - En Garde,Good,7
PC,Hitman 2  - A Boy And His Briefcase,Great,8
PC,Fallout 76  - No Humans Allowed,Poor,4
PC,Underworld Ascendant : Going Under,Terrible,2
PC,Taiko no Tatsujin: Drum 'n' Fun / Drum Session  - Rhythm Party,Good,7
PC,Battlefield 5  - Breaking Through The Front Lines,Great,8
PC,Pokemon Let's Go Pikachu And Let's Go Eevee,Great,8
PC,Overkill's The Walking Dead  - DOA,Bad,3
PC,Spyro Reignited Trilogy  - Fan The Flames,Great,8
PC,11-11: Memories Retold  - Modernist Warfare,Good,7
PC,Full Metal Furies  - Puzzle-Brawler,Great,8
